ticker,ex_date,dividend
CATE.ST,2018-04-27,4.5
CATE.ST,2019-04-26,5.75
CATE.ST,2020-04-30,6.5
CATE.ST,2021-04-30,3.75
CATE.ST,2021-11-02,3.75
CATE.ST,2022-04-29,4.0
CATE.ST,2022-11-01,4.0
CATE.ST,2023-04-28,4.13
CATE.ST,2023-11-01,4.13
CATE.ST,2024-04-26,4.25
CATE.ST,2024-10-28,4.25
CATE.ST,2025-04-29,4.5
CATE.ST,2025-10-29,4.5
CATE.ST,2026-04-24,4.75
CIBUS.ST,2018-10-19,2.204384
CIBUS.ST,2018-12-27,2.204384
CIBUS.ST,2019-03-28,2.204384
CIBUS.ST,2019-06-19,2.204384
CIBUS.ST,2019-09-20,2.314603
CIBUS.ST,2020-01-01,2.314603
CIBUS.ST,2020-03-23,2.4248223
CIBUS.ST,2020-06-17,2.4248223
CIBUS.ST,2020-09-22,2.4248223
CIBUS.ST,2020-10-22,0.77153444
CIBUS.ST,2020-11-20,0.77153444
CIBUS.ST,2020-12-18,0.8817536
CIBUS.ST,2021-01-21,0.77153444
CIBUS.ST,2021-02-18,0.8817536
CIBUS.ST,2021-03-23,0.8817536
CIBUS.ST,2021-04-22,0.77153444
CIBUS.ST,2021-05-24,0.8817536
CIBUS.ST,2021-06-22,0.8817536
CIBUS.ST,2021-07-22,0.77153444
CIBUS.ST,2021-08-23,0.8817536
CIBUS.ST,2021-09-22,0.8817536
CIBUS.ST,2021-10-21,0.8817536
CIBUS.ST,2021-11-22,0.8817536
CIBUS.ST,2021-12-21,0.8817536
CIBUS.ST,2022-01-21,0.8817536
CIBUS.ST,2022-02-18,0.8817536
CIBUS.ST,2022-03-23,0.8817536
CIBUS.ST,2022-04-21,1.102192
CIBUS.ST,2022-05-12,1.102192
CIBUS.ST,2022-06-21,0.8817536
CIBUS.ST,2022-07-21,0.8817536
CIBUS.ST,2022-08-23,0.8817536
CIBUS.ST,2022-09-22,0.99197286
CIBUS.ST,2022-10-21,0.8817536
CIBUS.ST,2022-11-22,0.8817536
CIBUS.ST,2022-12-21,0.99197286
CIBUS.ST,2023-01-23,0.8817536
CIBUS.ST,2023-02-20,0.8817536
CIBUS.ST,2023-03-23,0.99197286
CIBUS.ST,2023-04-21,0.77153444
CIBUS.ST,2023-05-23,0.77153444
CIBUS.ST,2023-06-21,0.8817536
CIBUS.ST,2023-07-21,0.77153444
CIBUS.ST,2023-08-23,0.77153444
CIBUS.ST,2023-09-29,0.8817536
CIBUS.ST,2023-10-23,0.77153444
CIBUS.ST,2023-11-22,0.8817536
CIBUS.ST,2023-12-29,0.8817536
CIBUS.ST,2024-01-23,0.77153444
CIBUS.ST,2024-02-21,0.8817536
CIBUS.ST,2024-03-20,0.8817536
CIBUS.ST,2024-04-16,0.77153444
CIBUS.ST,2024-05-27,0.77153444
CIBUS.ST,2024-06-28,0.8817536
CIBUS.ST,2024-07-25,0.77153444
CIBUS.ST,2024-08-26,0.77153444
CIBUS.ST,2024-09-30,0.8817536
CIBUS.ST,2024-10-25,0.77153444
CIBUS.ST,2024-11-25,0.8817536
CIBUS.ST,2024-12-30,0.8817536
CIBUS.ST,2025-01-27,0.77153444
CIBUS.ST,2025-02-24,0.8817536
CIBUS.ST,2025-03-31,0.8817536
CIBUS.ST,2025-04-16,0.77153444
CIBUS.ST,2025-05-23,0.77153444
CIBUS.ST,2025-06-30,0.8817536
CIBUS.ST,2025-07-25,0.77153444
CIBUS.ST,2025-08-26,0.77153444
CIBUS.ST,2025-09-30,0.8817536
CIBUS.ST,2025-10-24,0.77153444
CIBUS.ST,2025-11-25,0.8817536
CIBUS.ST,2025-12-30,0.8817536
CIBUS.ST,2026-01-26,0.77153444
CIBUS.ST,2026-02-23,0.8817536
CIBUS.ST,2026-03-31,0.8817536
CIBUS.ST,2026-04-23,0.77153444
CIBUS.ST,2026-05-26,0.77153444
CIBUS.ST,2026-06-30,0.8817536
CIBUS.ST,2026-07-24,0.77153444
CLA-B.ST,2010-12-16,0.46125
CLA-B.ST,2011-12-20,0.3075
CLA-B.ST,2016-04-13,0.5
CLA-B.ST,2017-04-05,0.75
CLA-B.ST,2018-04-17,1.5
CLA-B.ST,2019-04-05,1.0
CLA-B.ST,2020-11-04,0.5
CLA-B.ST,2021-04-07,0.75
CLA-B.ST,2022-04-07,1.0
CLA-B.ST,2023-04-05,1.0
CLA-B.ST,2024-04-10,1.0
CLA-B.ST,2025-04-11,1.1
CLA-B.ST,2026-04-22,1.4
CLAS-B.ST,2000-09-18,0.5
CLAS-B.ST,2001-09-17,0.78125
CLAS-B.ST,2002-09-16,1.1
CLAS-B.ST,2003-09-15,0.8
CLAS-B.ST,2004-09-13,1.0
CLAS-B.ST,2006-09-11,4.0
CLAS-B.ST,2007-09-10,4.5
CLAS-B.ST,2008-09-15,5.0
CLAS-B.ST,2009-09-14,3.0
CLAS-B.ST,2010-09-13,3.75
CLAS-B.ST,2011-09-12,3.75
CLAS-B.ST,2012-09-10,4.25
CLAS-B.ST,2013-09-09,4.25
CLAS-B.ST,2014-09-15,4.75
