ticker,report_period,report_date,period_end,period_end_to_report_days,original_eps_ttm,aligned_eps_ttm,currency,abs_change_pct,alignment_status,eps_source
ESSITY-B.ST,2026-Q1,2026-04-23,2026-03-31,23.0,18.0,18.17,SEK,0.944444444444454,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
ESSITY-B.ST,2026-Q2,2026-07-16,2026-06-30,16.0,17.48,17.73,SEK,1.4302059496567505,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EVO.ST,2024-Q1,2024-04-24,2024-03-31,24.0,5.11,5.04,EUR,1.3698630136986356,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EVO.ST,2024-Q2,2024-07-19,2024-06-30,19.0,5.15,5.1,EUR,0.9708737864077808,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EVO.ST,2024-Q3,2024-10-24,2024-09-30,24.0,5.44,5.4,EUR,0.7352941176470594,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EVO.ST,2024-Q4,2025-01-30,2024-12-31,30.0,6.02,5.91,EUR,1.8272425249169344,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EVO.ST,2025-Q1,2025-04-30,,,6.01,6.01,EUR,0.0,fallback_user_history,User-supplied historical EPS TTM fallback
EVO.ST,2025-Q2,2025-07-17,2025-06-30,17.0,5.94,5.84,EUR,1.6835016835016925,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EVO.ST,2025-Q3,2025-10-23,2025-09-30,23.0,5.64,5.5200000000000005,EUR,2.1276595744680717,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS
EVO.ST,2025-Q4,2026-02-05,2025-12-31,36.0,5.33,5.23,EUR,1.8761726078799181,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EVO.ST,2026-Q1,2026-04-22,2026-03-31,22.0,5.27,5.25,EUR,0.37950664136621587,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
