ticker,report_period,period_end,historical_report_date,yahoo_report_date,report_date_delta_days,report_date_status,historical_eps_ttm,historical_currency,yahoo_eps_ttm,yahoo_eps_currency,error_pct,value_status,historical_alignment_status,yahoo_observed_date
BIOG-B.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-16,1.0,near,3.43,SEK,3.43,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
BOL.ST,2026-Q2,2026-06-30,2026-07-21,2026-07-20,1.0,near,44.74,SEK,44.74,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
BORG.ST,2026-Q2,2026-03-31,2026-04-29,2026-04-29,0.0,match,3.7,SEK,3.7,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
BRAV.ST,2026-Q2,2026-06-30,2026-07-13,2026-05-05,69.0,mismatch,6.85,SEK,6.85,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
BTS-B.ST,2026-Q1,2026-03-31,2026-05-21,2026-08-14,85.0,mismatch,6.98,SEK,6.98,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
CAST.ST,2026-Q2,2026-06-30,2026-07-15,2026-07-15,0.0,match,5.59,SEK,5.59,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
CATE.ST,2026-Q2,2026-06-30,2026-07-06,2026-07-05,1.0,near,34.05,SEK,34.05,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
CIBUS.ST,2026-Q2,2026-06-30,2026-07-16,2026-07-16,0.0,match,1.03,EUR,1.03,EUR,0.0,match,yahoo_trailing_diluted,2026-08-15
CLA-B.ST,2026-Q2,2026-06-30,2026-07-15,2026-07-14,1.0,near,2.98,SEK,2.98,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
CLAS-B.ST,2026-Q4,2026-04-30,2026-06-03,2026-06-03,0.0,match,18.29,SEK,18.29,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
COOR.ST,2026-Q2,2026-06-30,2026-07-15,2026-07-15,0.0,match,2.8,SEK,2.8,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
