ticker,report_period,report_date,gap_position,previous_comparable_period,previous_comparable_date,next_comparable_period,next_comparable_date,days_from_previous,days_to_next,stale_window_days,reference_eps_ttm,currency,recommended_action
SECU-B.ST,2021-Q2,2021-07-29,leading,,,2023-Q3,2023-11-07,,831,,6.2138,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2021-Q3,2021-10-29,leading,,,2023-Q3,2023-11-07,,739,,6.6397,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2021-Q4,2022-02-08,leading,,,2023-Q3,2023-11-07,,637,,7.1426,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2022-Q1,2022-05-04,leading,,,2023-Q3,2023-11-07,,552,,7.509,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2022-Q2,2022-07-28,leading,,,2023-Q3,2023-11-07,,467,,8.0942,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2022-Q3,2022-11-08,leading,,,2023-Q3,2023-11-07,,364,,7.823,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2022-Q4,2023-02-07,leading,,,2023-Q3,2023-11-07,,273,,8.585,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2023-Q1,2023-05-03,leading,,,2023-Q3,2023-11-07,,188,,8.3349,SEK,optional_backfill_requires_verified_source
SECU-B.ST,2023-Q2,2023-07-28,leading,,,2023-Q3,2023-11-07,,102,,8.0618,SEK,optional_backfill_requires_verified_source
SHOT.ST,2022-Q3,2022-10-27,leading,,,2023-Q3,2023-10-26,,364,,1.0194,SEK,optional_backfill_requires_verified_source
SHOT.ST,2022-Q4,2023-02-16,leading,,,2023-Q3,2023-10-26,,252,,1.0822,SEK,optional_backfill_requires_verified_source
SHOT.ST,2023-Q1,2023-04-27,leading,,,2023-Q3,2023-10-26,,182,,2.8029,SEK,optional_backfill_requires_verified_source
SHOT.ST,2023-Q2,2023-07-14,leading,,,2023-Q3,2023-10-26,,104,,2.1197,SEK,optional_backfill_requires_verified_source
SOBI.ST,2018-Q3,2018-10-31,leading,,,2023-Q3,2023-10-30,,1825,,7.694,SEK,optional_backfill_requires_verified_source
SOBI.ST,2018-Q4,2019-02-20,leading,,,2023-Q3,2023-10-30,,1713,,8.5348,SEK,optional_backfill_requires_verified_source
SOBI.ST,2019-Q1,2019-04-25,leading,,,2023-Q3,2023-10-30,,1649,,9.6969,SEK,optional_backfill_requires_verified_source
SOBI.ST,2019-Q2,2019-07-17,leading,,,2023-Q3,2023-10-30,,1566,,8.8933,SEK,optional_backfill_requires_verified_source
SOBI.ST,2019-Q3,2019-10-31,leading,,,2023-Q3,2023-10-30,,1460,,8.446,SEK,optional_backfill_requires_verified_source
SOBI.ST,2019-Q4,2020-02-13,leading,,,2023-Q3,2023-10-30,,1355,,10.7303,SEK,optional_backfill_requires_verified_source
SOBI.ST,2020-Q1,2020-04-29,leading,,,2023-Q3,2023-10-30,,1279,,11.5483,SEK,optional_backfill_requires_verified_source
SOBI.ST,2020-Q2,2020-07-16,leading,,,2023-Q3,2023-10-30,,1201,,10.8454,SEK,optional_backfill_requires_verified_source
SOBI.ST,2020-Q3,2020-10-22,leading,,,2023-Q3,2023-10-30,,1103,,9.9885,SEK,optional_backfill_requires_verified_source
SOBI.ST,2020-Q4,2021-02-18,leading,,,2023-Q3,2023-10-30,,984,,10.4188,SEK,optional_backfill_requires_verified_source
SOBI.ST,2021-Q1,2021-05-04,leading,,,2023-Q3,2023-10-30,,909,,8.8445,SEK,optional_backfill_requires_verified_source
SOBI.ST,2021-Q2,2021-07-21,leading,,,2023-Q3,2023-10-30,,831,,8.7991,SEK,optional_backfill_requires_verified_source
SOBI.ST,2021-Q3,2021-10-22,leading,,,2023-Q3,2023-10-30,,738,,9.4294,SEK,optional_backfill_requires_verified_source
SOBI.ST,2021-Q4,2022-02-10,leading,,,2023-Q3,2023-10-30,,627,,8.6056,SEK,optional_backfill_requires_verified_source
SOBI.ST,2022-Q1,2022-04-28,leading,,,2023-Q3,2023-10-30,,550,,8.1238,SEK,optional_backfill_requires_verified_source
SOBI.ST,2022-Q2,2022-07-19,leading,,,2023-Q3,2023-10-30,,468,,8.086,SEK,optional_backfill_requires_verified_source
SOBI.ST,2022-Q3,2022-10-27,leading,,,2023-Q3,2023-10-30,,368,,8.0052,SEK,optional_backfill_requires_verified_source
SOBI.ST,2022-Q4,2023-02-08,leading,,,2023-Q3,2023-10-30,,264,,8.4426,SEK,optional_backfill_requires_verified_source
SOBI.ST,2023-Q1,2023-04-27,leading,,,2023-Q3,2023-10-30,,186,,10.1039,SEK,optional_backfill_requires_verified_source
SOBI.ST,2023-Q2,2023-07-18,leading,,,2023-Q3,2023-10-30,,104,,9.9841,SEK,optional_backfill_requires_verified_source
SVED-B.ST,2024-Q4,2024-10-25,internal,2024-Q3,2024-10-25,2025-Q1,2025-04-29,0,186,186,3.1731,SEK,issuer_report_or_other_verified_source_required
SWED-A.ST,2018-Q3,2018-10-23,leading,,,2023-Q3,2023-10-26,,1829,,19.0353,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2018-Q4,2019-01-29,leading,,,2023-Q3,2023-10-26,,1731,,18.9009,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2019-Q1,2019-04-25,leading,,,2023-Q3,2023-10-26,,1645,,19.1034,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2019-Q2,2019-07-17,leading,,,2023-Q3,2023-10-26,,1562,,18.4869,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2019-Q3,2019-10-23,leading,,,2023-Q3,2023-10-26,,1464,,17.712,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2019-Q4,2020-01-28,leading,,,2023-Q3,2023-10-26,,1367,,17.5633,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2020-Q1,2020-04-23,leading,,,2023-Q3,2023-10-26,,1281,,11.3532,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2020-Q2,2020-07-17,leading,,,2023-Q3,2023-10-26,,1196,,10.9104,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2020-Q3,2020-10-20,leading,,,2023-Q3,2023-10-26,,1101,,11.435,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2020-Q4,2021-02-01,leading,,,2023-Q3,2023-10-26,,997,,11.5007,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2021-Q1,2021-04-27,leading,,,2023-Q3,2023-10-26,,912,,17.4387,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2021-Q2,2021-07-16,leading,,,2023-Q3,2023-10-26,,832,,18.0784,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2021-Q3,2021-10-21,leading,,,2023-Q3,2023-10-26,,735,,18.2821,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2021-Q4,2022-02-02,leading,,,2023-Q3,2023-10-26,,631,,18.5666,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2022-Q1,2022-04-28,leading,,,2023-Q3,2023-10-26,,546,,18.2399,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2022-Q2,2022-07-19,leading,,,2023-Q3,2023-10-26,,464,,17.473,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2022-Q3,2022-10-27,leading,,,2023-Q3,2023-10-26,,364,,17.6821,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2022-Q4,2023-01-31,leading,,,2023-Q3,2023-10-26,,268,,19.4351,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2023-Q1,2023-04-27,leading,,,2023-Q3,2023-10-26,,182,,22.0438,SEK,optional_backfill_requires_verified_source
SWED-A.ST,2023-Q2,2023-07-18,leading,,,2023-Q3,2023-10-26,,100,,25.952,SEK,optional_backfill_requires_verified_source
SYSR.ST,2022-Q3,2022-03-10,leading,,,2023-Q4,2023-12-07,,637,,2.9126,SEK,optional_backfill_requires_verified_source
SYSR.ST,2022-Q4,2022-06-08,leading,,,2023-Q4,2023-12-07,,547,,2.3803,SEK,optional_backfill_requires_verified_source
SYSR.ST,2023-Q1,2022-08-25,leading,,,2023-Q4,2023-12-07,,469,,2.6992,SEK,optional_backfill_requires_verified_source
SYSR.ST,2023-Q2,2022-12-08,leading,,,2023-Q4,2023-12-07,,364,,5.0006,SEK,optional_backfill_requires_verified_source
SYSR.ST,2023-Q3,2023-03-09,leading,,,2023-Q4,2023-12-07,,273,,5.132,SEK,optional_backfill_requires_verified_source
SYSR.ST,2024-Q4,2024-12-04,internal,2024-Q3,2024-08-29,2025-Q2,2024-12-04,97,0,0,2.9145,SEK,issuer_report_or_other_verified_source_required
