date,base_currency,quote_currency,rate,yahoo_ticker
2016-12-27,USD,SEK,9.200510025024414,USDSEK=X
2016-12-28,USD,SEK,9.220580101013184,USDSEK=X
2016-12-29,USD,SEK,9.19009017944336,USDSEK=X
2016-12-30,USD,SEK,9.066109657287598,USDSEK=X
2017-01-02,USD,SEK,9.081809997558594,USDSEK=X
2017-01-03,USD,SEK,9.121399879455566,USDSEK=X
2017-01-04,USD,SEK,9.151749610900879,USDSEK=X
2017-01-05,USD,SEK,9.093879699707031,USDSEK=X
2017-01-06,USD,SEK,8.996800422668457,USDSEK=X
2017-01-09,USD,SEK,9.061809539794922,USDSEK=X
2017-01-10,USD,SEK,9.034279823303223,USDSEK=X
2017-01-11,USD,SEK,9.080710411071777,USDSEK=X
2017-01-12,USD,SEK,9.0169095993042,USDSEK=X
2017-01-13,USD,SEK,8.947699546813965,USDSEK=X
2017-01-16,USD,SEK,8.925140380859375,USDSEK=X
2017-01-17,USD,SEK,8.948209762573242,USDSEK=X
2017-01-18,USD,SEK,8.897100448608398,USDSEK=X
2017-01-19,USD,SEK,8.951709747314453,USDSEK=X
2017-01-20,USD,SEK,8.950830459594727,USDSEK=X
2017-01-23,USD,SEK,8.876099586486816,USDSEK=X
