ticker,report_period,report_date,eps_ttm,currency
BERG-B.ST,2026-Q3,2026-02-04,7.5,SEK
BERG-B.ST,2026-Q4,2026-05-13,8.53,SEK
BERG-B.ST,2027-Q1,2026-07-16,8.57,SEK
BETS-B.ST,2024-Q1,2024-04-26,1.32,EUR
BETS-B.ST,2024-Q2,2024-07-19,1.28,EUR
BETS-B.ST,2024-Q3,2024-10-24,1.24,EUR
BETS-B.ST,2024-Q4,2025-02-06,1.31,EUR
BETS-B.ST,2025-Q1,2025-04-29,1.36,EUR
BETS-B.ST,2025-Q2,2025-07-18,1.39,EUR
BETS-B.ST,2025-Q3,2025-10-24,1.43,EUR
BETS-B.ST,2025-Q4,2026-02-05,1.29,EUR
BETS-B.ST,2026-Q1,2026-04-24,1.12,EUR
BETS-B.ST,2026-Q2,2026-07-17,0.98,EUR
BILI-A.ST,2024-Q1,2024-04-24,9.09,SEK
BILI-A.ST,2024-Q2,2024-07-18,8.48,SEK
BILI-A.ST,2024-Q3,2024-10-23,7.8,SEK
BILI-A.ST,2024-Q4,2025-02-05,7.19,SEK
BILI-A.ST,2025-Q1,2025-04-25,7.08,SEK
BILI-A.ST,2025-Q2,2025-07-18,6.93,SEK
BILI-A.ST,2025-Q3,2025-10-23,7.85,SEK
BILI-A.ST,2025-Q4,2026-02-05,8.22,SEK
BILI-A.ST,2026-Q1,2026-04-29,8.7,SEK
BILI-A.ST,2026-Q2,2026-07-17,9.18,SEK
BIOG-B.ST,2024-Q1,,3.69,SEK
BIOG-B.ST,2024-Q2,,3.99,SEK
BIOG-B.ST,2024-Q3,,3.34,SEK
BIOG-B.ST,2024-Q4,,3.48,SEK
BIOG-B.ST,2025-Q1,,3.06,SEK
BIOG-B.ST,2025-Q2,2025-07-18,2.83,SEK
BIOG-B.ST,2025-Q3,2025-10-22,3.12,SEK
BIOG-B.ST,2025-Q4,2026-02-12,3.29,SEK
BIOG-B.ST,2026-Q1,2026-05-07,3.28,SEK
BIOG-B.ST,2026-Q2,2026-07-17,3.43,SEK
BOL.ST,2024-Q1,2024-04-23,17.0804,SEK
BOL.ST,2024-Q2,2024-07-19,28.376,SEK
BOL.ST,2024-Q3,2024-10-22,31.7584,SEK
BOL.ST,2024-Q4,2025-02-06,36.6474,SEK
BOL.ST,2025-Q1,2025-04-23,40.49,SEK
BOL.ST,2025-Q2,2025-07-18,29.3,SEK
BOL.ST,2025-Q3,2025-10-22,29.03,SEK
BOL.ST,2025-Q4,2026-02-03,33.39,SEK
BOL.ST,2026-Q1,2026-04-28,38.85,SEK
BOL.ST,2026-Q2,2026-07-21,44.64,SEK
BORG.ST,2024-Q1,,2.8788,SEK
BORG.ST,2024-Q2,,2.9715,SEK
BORG.ST,2024-Q3,2024-08-16,3.087,SEK
BORG.ST,2024-Q4,2024-11-15,2.8896,SEK
BORG.ST,2025-Q1,2025-02-20,3.47,SEK
BORG.ST,2025-Q2,2025-05-15,3.37,SEK
BORG.ST,2025-Q3,2025-08-15,3.45,SEK
BORG.ST,2025-Q4,2025-11-14,3.66,SEK
BORG.ST,2026-Q1,2026-02-13,3.7,SEK
BORG.ST,2026-Q2,2026-04-29,3.88,SEK
BRAV.ST,2024-Q1,2024-05-07,5.67,SEK
BRAV.ST,2024-Q2,2024-07-12,5.38,SEK
BRAV.ST,2024-Q3,2024-10-22,5.13,SEK
BRAV.ST,2024-Q4,2025-02-11,5.17,SEK
BRAV.ST,2025-Q1,2025-05-06,5.3,SEK
BRAV.ST,2025-Q2,2025-07-11,5.45,SEK
BRAV.ST,2025-Q3,2025-10-24,5.68,SEK
BRAV.ST,2025-Q4,2026-02-18,6.02,SEK
BRAV.ST,2026-Q1,2026-05-05,6.08,SEK
BRAV.ST,2026-Q2,2026-07-13,6.87,SEK
BTS-B.ST,2024-Q1,2024-05-03,12.655,SEK
BTS-B.ST,2024-Q2,2024-08-15,12.6378,SEK
BTS-B.ST,2024-Q3,2024-11-08,21.2954,SEK
BTS-B.ST,2024-Q4,2025-02-26,19.9496,SEK
BTS-B.ST,2025-Q1,2025-05-16,18.53,SEK
BTS-B.ST,2025-Q2,2025-08-22,17.45,SEK
BTS-B.ST,2025-Q3,2025-11-12,8.36,SEK
BTS-B.ST,2025-Q4,2026-02-20,6.89,SEK
BTS-B.ST,2026-Q1,2026-05-21,6.99,SEK
BTS-B.ST,2026-Q2,2026-08-14,4.9,SEK
CAST.ST,2024-Q1,2024-05-03,7.2646,SEK
CAST.ST,2024-Q2,2024-07-16,7.5999,SEK
CAST.ST,2024-Q3,2024-10-25,7.6805,SEK
CAST.ST,2024-Q4,2025-02-19,7.7675,SEK
CAST.ST,2025-Q1,2025-05-05,7.6321,SEK
CAST.ST,2025-Q2,2025-07-14,7.4242,SEK
CAST.ST,2025-Q3,2025-10-23,7.3484,SEK
CAST.ST,2025-Q4,2026-02-18,7.4242,SEK
CAST.ST,2026-Q1,2026-04-24,7.7345,SEK
CAST.ST,2026-Q2,2026-07-15,8.2102,SEK
CATE.ST,2024-Q1,,17.6156,SEK
CATE.ST,2024-Q2,,16.3798,SEK
CATE.ST,2024-Q3,,16.9152,SEK
CATE.ST,2024-Q4,,18.2464,SEK
CATE.ST,2025-Q1,,19.8815,SEK
CATE.ST,2025-Q2,,21.0391,SEK
CATE.ST,2025-Q3,,22.4571,SEK
CATE.ST,2025-Q4,,23.3397,SEK
CATE.ST,2026-Q1,,19.6,SEK
CATE.ST,2026-Q2,2026-07-06,20.6643,SEK
CIBUS.ST,2024-Q1,,0.7264,EUR
CIBUS.ST,2024-Q2,,0.7095,EUR
CIBUS.ST,2024-Q3,,0.5993,EUR
CIBUS.ST,2024-Q4,,0.5908,EUR
CIBUS.ST,2025-Q1,,0.7559,EUR
CIBUS.ST,2025-Q2,,0.8515,EUR
CIBUS.ST,2025-Q3,2025-11-04,0.8746,EUR
CIBUS.ST,2025-Q4,2026-03-19,0.9537,EUR
CIBUS.ST,2026-Q1,2026-04-29,0.7874,EUR
CIBUS.ST,2026-Q2,2026-07-16,0.8193,EUR
CLA-B.ST,2024-Q1,2024-04-26,1.67,SEK
CLA-B.ST,2024-Q2,2024-07-12,1.7,SEK
CLA-B.ST,2024-Q3,2024-10-25,1.59,SEK
CLA-B.ST,2024-Q4,2025-01-29,1.67,SEK
CLA-B.ST,2025-Q1,2025-05-07,2.18,SEK
CLA-B.ST,2025-Q2,2025-07-17,2.29,SEK
