ticker,report_period,report_date
FABG.ST,2026-Q1,2026-04-23
FABG.ST,2026-Q2,2026-07-06
GENO.ST,2024-Q1,2024-02-15
GENO.ST,2024-Q2,2024-05-15
GENO.ST,2024-Q3,2024-08-20
GENO.ST,2024-Q4,2024-11-08
GENO.ST,2025-Q1,2025-02-14
GENO.ST,2025-Q2,2025-05-21
GENO.ST,2025-Q3,2025-08-12
GENO.ST,2025-Q4,2025-11-07
GENO.ST,2026-Q1,2026-02-12
GENO.ST,2026-Q2,2026-04-28
GETI-B.ST,2024-Q1,2024-04-22
GETI-B.ST,2024-Q2,2024-07-18
GETI-B.ST,2024-Q3,2024-10-18
GETI-B.ST,2024-Q4,2025-01-28
GETI-B.ST,2025-Q1,2025-04-22
GETI-B.ST,2025-Q2,2025-07-18
GETI-B.ST,2025-Q3,2025-10-21
GETI-B.ST,2025-Q4,2026-01-27
GETI-B.ST,2026-Q1,2026-04-21
GETI-B.ST,2026-Q2,2026-07-17
HANZA.ST,2024-Q1,2024-05-07
HANZA.ST,2024-Q2,2024-07-23
HANZA.ST,2024-Q3,2024-10-29
HANZA.ST,2024-Q4,2025-02-11
HANZA.ST,2025-Q1,2025-05-06
HANZA.ST,2025-Q2,2025-07-22
HANZA.ST,2025-Q3,2025-10-28
HANZA.ST,2025-Q4,2026-02-24
HANZA.ST,2026-Q1,2026-05-05
HANZA.ST,2026-Q2,2026-07-21
HEXA-B.ST,2024-Q1,2024-04-26
HEXA-B.ST,2024-Q2,2024-07-26
HEXA-B.ST,2024-Q3,2024-10-25
HEXA-B.ST,2024-Q4,2025-01-31
HEXA-B.ST,2025-Q1,2025-04-30
HEXA-B.ST,2025-Q2,2025-07-25
HEXA-B.ST,2025-Q3,2025-10-24
HEXA-B.ST,2025-Q4,2026-01-30
HEXA-B.ST,2026-Q1,2026-04-23
HEXA-B.ST,2026-Q2,2026-07-29
HMS.ST,2024-Q1,2024-04-16
HMS.ST,2024-Q2,2024-07-12
HMS.ST,2024-Q3,2024-10-18
HMS.ST,2024-Q4,2025-01-28
HMS.ST,2025-Q1,2025-04-23
HMS.ST,2025-Q2,2025-07-11
HMS.ST,2025-Q3,2025-10-21
HMS.ST,2025-Q4,2026-01-27
HMS.ST,2026-Q1,2026-04-23
HMS.ST,2026-Q2,2026-07-14
HOLM-A.ST,2026-Q2,2026-08-20
HPOL-B.ST,2024-Q1,2024-04-26
HPOL-B.ST,2024-Q2,2024-07-17
HPOL-B.ST,2024-Q3,2024-10-25
HPOL-B.ST,2024-Q4,2025-01-28
HPOL-B.ST,2025-Q1,2025-04-25
HPOL-B.ST,2025-Q2,2025-07-18
HPOL-B.ST,2025-Q3,2025-10-24
HPOL-B.ST,2025-Q4,2026-01-29
HPOL-B.ST,2026-Q1,2026-05-04
HPOL-B.ST,2026-Q2,2026-07-20
HTRO.ST,2024-Q1,2024-04-26
HTRO.ST,2024-Q2,2024-07-16
HTRO.ST,2024-Q3,2024-10-25
HTRO.ST,2024-Q4,2025-02-07
HTRO.ST,2025-Q1,2025-04-29
HTRO.ST,2025-Q2,2025-07-14
HTRO.ST,2025-Q3,2025-10-24
HTRO.ST,2025-Q4,2026-02-05
HTRO.ST,2026-Q1,2026-04-29
HTRO.ST,2026-Q2,2026-07-15
HUFV-A.ST,2023-Q4,2024-05-08
HUFV-A.ST,2024-Q1,2024-08-22
HUFV-A.ST,2024-Q2,2024-11-07
HUFV-A.ST,2024-Q3,2025-02-13
HUFV-A.ST,2024-Q4,2025-05-08
HUFV-A.ST,2025-Q1,2025-08-20
HUFV-A.ST,2025-Q2,2025-11-06
HUFV-A.ST,2025-Q3,2026-02-12
HUFV-A.ST,2025-Q4,2026-05-08
HUFV-A.ST,2026-Q1,2026-08-20
HUFV-A.ST,2026-Q2,2026-08-20
INDT.ST,2024-Q1,2024-04-25
INDT.ST,2024-Q2,2024-07-18
INDT.ST,2024-Q3,2024-10-25
INDT.ST,2024-Q4,2025-01-30
INDT.ST,2025-Q1,2025-04-25
INDT.ST,2025-Q2,2025-07-15
INDT.ST,2025-Q3,2025-10-21
INDT.ST,2025-Q4,2026-01-29
INDT.ST,2026-Q1,2026-04-24
INDT.ST,2026-Q2,2026-07-16
INTRUM.ST,2023-Q4,2024-01-25
INTRUM.ST,2024-Q1,2024-04-24
INTRUM.ST,2024-Q2,2024-07-18
INTRUM.ST,2024-Q3,2024-10-23
INTRUM.ST,2024-Q4,2025-01-30
INTRUM.ST,2025-Q1,2025-05-07
INTRUM.ST,2025-Q2,2025-07-25
INTRUM.ST,2025-Q3,2025-10-30
INTRUM.ST,2025-Q4,2026-01-29
INTRUM.ST,2026-Q1,2026-05-07
INWI.ST,2024-Q3,2024-10-22
INWI.ST,2024-Q4,2025-02-04
INWI.ST,2025-Q1,2025-04-24
INWI.ST,2025-Q2,2025-07-14
INWI.ST,2025-Q3,2025-10-21
INWI.ST,2025-Q4,2026-02-03
INWI.ST,2026-Q1,2026-04-28
INWI.ST,2026-Q2,2026-07-15
KAMBI.ST,2024-Q1,2024-04-24
KAMBI.ST,2024-Q2,2024-07-24
