ticker,period_end,report_date,report_lag_days,eps_ttm,currency,alignment_status,eps_source,date_status
ERIC-B.ST,2025-09-30,2025-10-14,14,7.379999999999999,SEK,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS,existing_canonical
ERIC-B.ST,2025-12-31,2026-01-23,23,8.51,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ERIC-B.ST,2026-03-31,2026-04-17,17,7.54,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ERIC-B.ST,2026-06-30,2026-07-14,14,7.38,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ESSITY-B.ST,2023-09-30,2023-10-26,26,12.73,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ESSITY-B.ST,2023-12-31,2024-01-25,25,13.6,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ESSITY-B.ST,2024-03-31,2024-04-25,25,26.02,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ESSITY-B.ST,2024-06-30,2024-07-18,18,27.21,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ESSITY-B.ST,2024-09-30,2024-10-23,23,29.7,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ESSITY-B.ST,2024-12-31,2025-01-23,23,29.83,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ESSITY-B.ST,2025-03-31,2025-04-24,24,18.05,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ESSITY-B.ST,2025-06-30,2025-07-17,17,17.72,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ESSITY-B.ST,2025-09-30,2025-10-23,23,17.81,SEK,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS,existing_canonical
ESSITY-B.ST,2025-12-31,2026-01-22,22,18.37,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ESSITY-B.ST,2026-03-31,2026-04-23,23,18.17,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ESSITY-B.ST,2026-06-30,2026-07-16,16,17.73,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EVO.ST,2023-09-30,2023-10-26,26,4.65,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EVO.ST,2024-03-31,2024-04-24,24,5.04,EUR,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
